Frame #,Right_Shoulder (X),Right_Shoulder (Y),Right_Shoulder (Z),Right_Elbow (X),Right_Elbow (Y),Right_Elbow (Z),Right_Pinky (X),Right_Pinky (Y),Right_Pinky (Z),Right_Hip (X),Right_Hip (Y),Right_Hip (Z),corrected_angles,Right_Shoulder (X)_smoothed,Right_Shoulder (Y)_smoothed,Right_Hip (X)_smoothed,Right_Hip (Y)_smoothed,Right_Pinky (X)_smoothed,Right_Pinky (Y)_smoothed,angles,velocity,roughness
42,0.7088657021522522,-0.4688751399517059,-0.3916916847229004,0.6347657442092896,-0.6360248923301697,-0.4485089480876922,0.5036699175834656,-0.8122266530990601,-0.7877639532089233,0.7740656733512878,-0.7157221436500549,-0.0458186417818069,45.65933567480408,0.7088813652318554,-0.4688809385590785,0.7741048293881985,-0.7157352800589353,0.5036430875118413,-0.8122028363769677,45.650316547367765,0.843872532311849,0.0005135460043498253
43,0.708824634552002,-0.4689213633537292,-0.3918412923812866,0.63478684425354,-0.6361324787139893,-0.4494313597679138,0.5036927461624146,-0.8122223019599915,-0.7917280197143555,0.7740416526794434,-0.7157105207443237,-0.0466950200498104,45.66221001578151,0.7088004733584896,-0.4689068443860021,0.7740533400764339,-0.7157103010449519,0.5037137617443708,-0.8122058856398284,45.65569067236286,0.3224474997055893,0.0004403195097986318
44,0.7087135314941406,-0.468940407037735,-0.3914066255092621,0.6347891092300415,-0.6362695693969727,-0.4500081241130829,0.5037407279014587,-0.8122263550758362,-0.7924835085868835,0.7739757299423218,-0.7157183885574341,-0.0470719374716281,45.65418756005221,0.7087256949358949,-0.4689308048432343,0.7740104632272713,-0.7157050665004947,0.5037752258951093,-0.8122073400727863,45.65631121286316,0.0372324300180082,0.00028022402073826465
45,0.7086585164070129,-0.4689423143863678,-0.3847969472408294,0.6348233819007874,-0.6363649964332581,-0.4484613537788391,0.5038561820983887,-0.8121996521949768,-0.7763413190841675,0.7739797830581665,-0.7157345414161682,-0.0475534200668334,45.647308710151094,0.708659673862957,-0.4689509635832246,0.7739906504151418,-0.7157134272744843,0.5038358406134311,-0.8122072684141067,45.655325620447265,-0.0591355449536479,0.0001298618470024295
46,0.708625078201294,-0.4689563512802124,-0.3784900307655334,0.6348485946655273,-0.6364768743515015,-0.4434575736522674,0.5038838982582092,-0.8121979832649231,-0.777978777885437,0.7740146517753601,-0.7157482504844666,-0.0478425361216068,45.65577144458183,0.7086043691114998,-0.4689658430838543,0.7739991722884955,-0.7157302167405588,0.5039032134460396,-0.8122079315392122,45.65460608242972,-0.0431722810525059,4.029808358003431e-05
47,0.7085493206977844,-0.4689792096614837,-0.3794392049312591,0.6348525881767273,-0.6366543173789978,-0.443858653306961,0.503941535949707,-0.8121974468231201,-0.781188428401947,0.7739694118499756,-0.7157568335533142,-0.0482401512563228,45.64850375100821,0.7085611069353567,-0.468973993895189,0.7740335940456736,-0.7157525157565097,0.5039838117227948,-0.8122119661852694,45.65460904502038,0.0001777554393811,6.767579725374373e-06
48,0.7085278630256653,-0.4689683020114898,-0.3707190155982971,0.6349148154258728,-0.6366657614707947,-0.4353853166103363,0.5041823387145996,-0.8121972680091858,-0.7762287259101868,0.7742007970809937,-0.7157830595970154,-0.0482738688588142,45.6680973402639,0.708530443585831,-0.4689737193529582,0.7740862934724758,-0.7157798469430717,0.50408334533188,-0.8122205738894569,45.654530476990246,-0.0047140818080038,4.0279223324588077e-07
49,0.708507776260376,-0.468960553407669,-0.3719094693660736,0.6349357962608337,-0.6367539167404175,-0.4368229508399963,0.5042552351951599,-0.8122024536132812,-0.7786095142364502,0.7741671800613403,-0.715813934803009,-0.0488107614219188,45.650526747262234,0.7085118495842193,-0.4689630405649094,0.7741473665827148,-0.715813378039852,0.5042075044158509,-0.8122323809321287,45.65267699916347,-0.1112086696066683,5.722968230874964e-07
50,0.7084916830062866,-0.4689369201660156,-0.373596042394638,0.6350119113922119,-0.6368616223335266,-0.4378258883953094,0.5042890310287476,-0.8122695088386536,-0.7850763201713562,0.7742052674293518,-0.7158583998680115,-0.0488364323973655,45.64554172282419,0.7085034164433535,-0.4689398725986667,0.774206728902541,-0.7158544753559729,0.5043619314144105,-0.812243438919551,45.64692589403051,-0.345066307977504,5.730856550039891e-06
51,0.7084861993789673,-0.4689035713672638,-0.3745516538619995,0.6351929903030396,-0.6368679404258728,-0.4386601746082306,0.5045542120933533,-0.8122571110725403,-0.7864933609962463,0.774207592010498,-0.7158677577972412,-0.0488586761057376,45.609858553979734,0.7085018604631941,-0.468902376626586,0.7742542739477569,-0.7159029571266391,0.5045503897797177,-0.8122484432672271,45.635128014868506,-0.7078727497201953,2.4956925388526186e-05
