Frame #,body X,body Y,hand X,hand Y,shoulder X,shoulder Y,shoulder X_smoothed,shoulder Y_smoothed,body X_smoothed,body Y_smoothed,hand X_smoothed,hand Y_smoothed,velocity,roughness,angles
86,361.9148559570313,1358.0048828125,362.2753601074219,1869.58837890625,201.84901428222656,1194.0921630859375,201.68955410405903,1194.112942168076,361.93487658289655,1472.6971634552287,362.15398853085526,1754.86996335123,124.02319202325884,0.1968868731349902,342.9601726016268
87,362.0625,1358.1619873046875,362.2753601074219,1869.58837890625,201.71485900878903,1194.1064453125,201.5904751263141,1194.2036889576505,361.8527906256121,1475.3194396529473,362.0499261374487,1752.1000064938492,81.56818745594023,0.5202236820747115,344.31964239255916
88,361.80230712890625,1358.1287841796875,362.2753601074219,1869.58837890625,201.4423065185547,1194.196533203125,201.48674788973145,1194.283148633047,361.75479502617264,1475.0423100190803,361.98683784593914,1752.1645693312769,48.270797672479375,0.9024190422388607,345.1241556871005
89,361.77777099609375,1358.188232421875,362.2753601074219,1869.58837890625,201.3763427734375,1194.3311767578125,201.3913242644327,1194.355818296841,361.65412078340734,1471.978879383161,361.9425837457282,1755.0807406438364,20.57516387894225,0.9265697090927425,345.46707508508285
90,361.26910400390625,1869.5382080078125,361.77777099609375,1358.188232421875,201.3763427734375,1194.3311767578125,201.31975488173725,1194.420081275933,361.56848621327225,1462.7756426491703,361.9212294305544,1764.38169342863,-13.77804623230304,0.790952055978927,345.23744098121114
91,361.4871826171875,1357.9615478515625,361.7759704589844,1869.699462890625,201.15321350097656,1194.68115234375,201.2845381958728,1194.4703549041824,361.51289315796737,1444.9980429694206,361.9458454786375,1782.682123819993,-61.48964599815713,0.8505687229974862,344.2126135479085
92,361.4871826171875,1357.9615478515625,361.6104736328125,1870.153564453125,201.06626892089844,1194.578369140625,201.28973203796227,1194.5020491047028,361.4926898084371,1420.7284821658504,362.0408865449639,1807.9937957532873,-116.0166195806312,1.193461423305273,342.27900322156466
93,361.4627380371094,1358.2451171875,362.4624938964844,1870.4041748046875,201.4459228515625,1194.426025390625,201.32842257943207,1194.5156240710164,361.5014526253034,1395.5867598468355,362.2155171841943,1834.5950449275197,-161.05213792091376,1.5124087139751319,339.59480092288277
94,361.5702819824219,1358.21484375,362.0524291992187,1870.232177734375,201.5,1194.5,201.38542287545337,1194.5168375391247,361.524144806735,1374.95148622986,362.45710791414206,1856.7093704740175,-180.31810161709927,1.3290904046516332,336.58949922926445
95,361.60162353515625,1358.2723388671875,363.1666564941406,1869.811279296875,201.5,1194.5,201.44421783484592,1194.5138486455494,361.5431150504679,1361.237690922429,362.7364716573407,1871.1924492138992,-168.51468488498654,0.6659104782679639,333.780921147848
96,361.5702819824219,1358.21484375,363.2255859375,1869.531982421875,201.5,1194.5,201.49352497845183,1194.5141112302813,361.54438052392646,1353.6078269031009,363.0201166560513,1877.9238669669023,-135.7130590516715,0.18862066807223357,331.51903683032015
97,361.5522155761719,1358.293212890625,363.1088562011719,1869.3707275390625,201.5540771484375,1194.573974609375,201.52975820064563,1194.5227417213737,361.5223257993023,1349.29050100798,363.28206271686287,1878.8020565591332,-100.0890047547125,0.28303016031996425,329.85088675107494
98,361.5522155761719,1358.293212890625,363.58111572265625,1869.528076171875,201.5,1194.5,201.55536904260015,1194.5419896442345,361.4817392461673,1345.4418872867266,363.5089504962156,1876.429929175082,-75.68811131852158,0.5466019116131182,328.5894182290996
99,361.3271484375,1358.22021484375,363.7316284179687,1869.8927001953125,201.5,1194.5,201.57515395248507,1194.570984658072,361.43703118725415,1340.8430833560622,363.6977968218351,1873.1037362461464,-64.64122845114275,0.514746428284328,327.51206442158053
100,361.4920654296875,1358.3016357421875,363.5840148925781,1869.727294921875,201.6236572265625,1194.6688232421875,201.59281787897564,1194.605812687127,361.40925854427695,1336.9703055953687,363.8504395795629,1870.3110156582215,-55.55027875632959,0.2888222484883751,326.5862264423084
101,361.4920654296875,1358.3016357421875,364.0794982910156,1870.250732421875,201.6236572265625,1194.6688232421875,201.60939227104572,1194.6405666505973,361.42198402094544,1338.093625767236,363.9685378803323,1868.6772436610845,-27.14056770533716,0.19913343810898596,326.1338836472194
102,361.5522155761719,1358.293212890625,364.0818176269531,1870.124267578125,201.6236572265625,1194.6688232421875,201.62357454360512,1194.6691524798368,361.49621356905567,1350.142194387524,364.0513666122384,1868.1832421326255,39.01460980063917,0.5888994334923285,326.78412714389674
103,361.60162353515625,1358.2723388671875,364.1492004394531,1869.952392578125,201.6236572265625,1194.6688232421875,201.63278893728935,1194.6866258695577,361.6432084368083,1378.2687400763173,364.096742905345,1868.4696022275964,136.7262945827281,1.948315235471412,329.06289872027554
104,361.5522155761719,1358.293212890625,364.0181884765625,1870.0787353515625,201.6236572265625,1194.6688232421875,201.63403832389864,1194.689458251714,361.8545401430803,1423.49823264785,364.1029118451058,1869.0992920116848,227.53709046197287,3.8372615894192967,332.8551835613084
105,361.5522155761719,1358.293212890625,364.0181884765625,1870.0787353515625,201.6236572265625,1194.6688232421875,201.6246085786458,1194.675418116415,362.0926395667055,1479.6130463457605,364.0693307122526,1869.721205159888,270.9238027303775,4.332501194798724,337.3705802734814
106,361.5522155761719,1358.293212890625,364.0181884765625,1870.0787353515625,201.6236572265625,1194.6688232421875,201.60301504992617,1194.6439850099064,362.2907645290495,1532.409349620225,363.9970429219298,1870.134387079787,256.9227435344567,2.638872761371747,341.65262599905566
107,364.0,1869.7459716796875,364.0181884765625,1870.0787353515625,201.6236572265625,1194.6688232421875,201.5701452298374,1194.597389427146,362.37317675802865,1563.770152846622,363.89037735328526,1870.2818060959253,199.6511018192643,0.7880793030095201,344.98014436271006
