Frame #,Body Pink X,Body Pink Y,Hand Pink X,Hand Pink Y,Elbow Orange X,Elbow Orange Y,Shoulder Green X,Shoulder Green Y,Shoulder Green X_smoothed,Shoulder Green Y_smoothed,Body Pink X_smoothed,Body Pink Y_smoothed,Hand Pink X_smoothed,Hand Pink Y_smoothed,angles,velocity,roughness
1744.0,136.6800842,1711.484009,337.211731,1243.981079,108.1210861,1286.121094,153.1308441,1044.054565,153.06580653312477,1044.2682139964684,137.0077777536637,1711.5567383547282,337.27865156750596,1244.4848709622822,42.66924479080638,53.01761442791047,0.043542397756775306
1745.0,131.902832,1711.980835,336.641449,1244.358521,106.9552841,1285.975586,152.9051971,1044.328735,152.602676728108,1044.4486059191422,131.85802755034317,1711.6814352147758,336.9872632154557,1244.5251788979956,43.37895665570088,42.58271189367008,0.051999559863954416
1746.0,129.7168274,1711.930908,336.3554382,1244.244995,106.214386,1287.147949,152.5387878,1044.771606,152.41296220972677,1044.6868493990448,129.1975881049007,1711.761178555768,336.67317941271085,1244.5135815554197,43.896310726144414,31.041244226611862,0.06640746361555569
1747.0,130.0701752,1712.557007,335.891571,1244.524048,106.9314499,1286.931396,152.4992828,1045.05481,152.52504698229492,1044.972799225896,129.1337143191749,1711.8322721324594,336.38394780473527,1244.4895079339406,44.205850625322775,18.572393950701667,0.08299639902250298
1748.0,132.5912781,1712.139038,335.891571,1244.524048,108.5483856,1286.991943,153.120285,1045.266724,152.9815494260913,1045.2896699770672,131.75623607041004,1711.938905335022,336.1265875283737,1244.46215554615,44.292740401357754,5.213386562098776,0.09959369875956245
1749.0,132.5912781,1712.139038,335.891571,1244.524048,111.0,1288.0,153.6999969,1045.731934,153.8322772162428,1045.61966802175,137.133438161442,1712.1224038708613,335.86599156848297,1244.423058805683,44.141201987459134,-9.09230483391724,0.11608581022423038
1750.0,146.6951141,1712.075073,335.5,1244.5,114.9314499,1287.931396,155.0059509,1045.87793,155.1219771226827,1045.9469889077116,145.29248555093434,1712.3851159866113,335.54706769191114,1244.3623872388534,43.735201996192146,-24.359999476019283,0.1333594379661903
1751.0,157.6248627,1712.207886,335.6236572,1244.331177,119.8640518,1289.069336,156.8318481,1046.392822,156.87723763876258,1046.257797082459,156.2285739623396,1712.637647638071,335.13305436389805,1244.28245850161,43.06046483543678,-40.48422964532179,0.15167680792152702
1752.0,171.4799957,1711.58667,335.5,1244.5,126.0439987,1289.024048,158.9513245,1046.477905,159.09662907285932,1046.5376257605908,169.9626124464802,1712.6466110954766,334.6475969111619,1244.204734277399,42.10594830037347,-57.27099210379876,0.16995095348723402
1753.0,187.7993469,1710.174805,335.108429,1244.160645,133.6760406,1289.488647,161.644165,1046.769287,161.74690762232655,1046.7665211520352,186.6023035237181,1712.0043319543868,334.2039770211558,1244.1683822185282,40.86429929222642,-74.498940488823,0.1862556268277676
1754.0,207.1753845,1708.505615,334.6445618,1244.244995,142.4541626,1289.358276,164.8297577,1046.658081,164.76632152178954,1046.9127966466267,206.3404769375595,1710.1473457055838,334.0015362290555,1244.2192895800536,39.33208708420853,-91.93273248107332,0.19876433101149163
1755.0,229.3027344,1705.88855,334.641449,1244.358521,152.4391937,1289.284668,168.0343323,1047.007202,168.074525496888,1046.9278207703264,229.361558241828,1706.4541406642436,334.2727450825478,1244.390170274047,37.510178521180165,-109.31451378170196,0.20622648020411002
1756.0,253.9151154,1701.915161,334.5,1244.5,163.5232391,1288.734375,171.7391968,1046.626221,171.58691965875747,1046.744997193152,255.66931971547885,1700.439296294923,335.17737860835393,1244.6751124460527,35.403879633908964,-126.37793323627209,0.20791368761775958
1757.0,281.2178345,1696.192505,334.5,1244.227417,175.6926117,1287.324219,175.5099792,1046.356323,175.22969273378445,1046.2843057538885,284.87923055097696,1692.0211922503345,336.6598162409255,1245.0042247257452,33.02291940658949,-142.85761363916862,0.203475287856705
1758.0,310.95578,1689.11792,334.358551,1244.358521,175.6926117,1287.324219,178.9302673,1045.241333,178.95094565511866,1045.461368751326,316.05002430558676,1681.782037430639,338.3107816138976,1245.2278787882583,30.382385168224317,-158.4320543019102,0.19270199811119973
1759.0,343.3487244,1679.892334,334.358551,1244.358521,202.2770691,1282.182861,183.0,1044.5,182.7234875265177,1044.1996353334057,347.6559419650383,1671.081109248824,339.3047557284719,1245.126210927842,27.504905927967897,-172.6487544153852,0.17517061005912068
1760.0,377.91922,1667.080811,333.6398926,1243.834595,215.9673767,1278.004272,186.1856995,1042.633179,186.5373834846576,1042.4442475221042,377.7957130126817,1661.8518635042103,338.5072192374204,1244.4616906526426,24.4202525426561,-185.07920311870777,0.15090713289365804
1761.0,413.8002014,1651.498535,334.3778992,1243.604614,230.4886932,1273.113037,190.0,1040.5,190.38506984835848,1040.1735390197769,404.6628991318506,1655.9558361568766,334.8395818334776,1243.0844977141178,21.156461726139003,-195.82744899102585,0.12272825998873249
1762.0,450.1331177,1632.281616,334.3511963,1242.960327,245.873764,1266.590088,194.2792053,1037.317627,194.24705697003344,1037.4014394889462,427.14168637676914,1654.1334105368103,327.9279261079069,1241.082186471392,17.729886061840777,-205.5945398578936,0.09644296251201534
1763.0,450.1331177,1632.281616,334.3511963,1242.960327,261.2137451,1258.9552,197.9459534,1034.196655,198.08758035088576,1034.1663939067075,445.1866521955112,1654.8788462537254,318.92869487509694,1238.9375361875811,14.173552020253068,-213.38004249526253,0.07274549359741442
1764.0,450.1331177,1632.281616,334.3511963,1242.960327,277.1271973,1249.697388,202.1177368,1030.266724,201.86372677839853,1030.5089534956237,459.5921299450575,1653.8276496012045,311.2412754303732,1237.6238425823533,10.65395809921925,-211.175635262029,0.038250605893419706
1765.0,450.1331177,1632.281616,334.3511963,1242.960327,292.4375,1239.644409,205.9533844,1025.901123,205.54298146659875,1026.4457065220186,471.0675351020445,1644.2546281138589,310.6545049854736,1238.538278884187,7.634537180120891,-181.16525514590157,0.04841477544464484
1766.0,450.1331177,1632.281616,334.3511963,1242.960327,307.7393799,1228.204346,209.5080719,1020.983887,209.11883440368865,1021.9507068994318,479.0746327534115,1618.9638886125915,324.43899036289986,1243.1793513573143,5.860857731354479,-106.42076692598472,0.5620537820325499
1767.0,450.1331177,1632.281616,334.3511963,1242.960327,322.9621887,1215.200317,213.3760376,1016.00824,212.61224439544876,1016.9598342353452,481.237453660033,1573.2921414697378,359.11947080436016,1252.548673313731,5.957688421805092,5.809841427036773,2.3975858463560664
1768.0,450.1331177,1632.281616,334.3511963,1242.960327,337.6555176,1201.369629,213.3760376,1016.00824,216.05080849030423,1011.4105029189872,474.1084772544933,1508.1617349893493,417.26265406068813,1266.423040261505,7.903790478942449,116.7661234282414,5.146272571274113
1769.0,697.3763428,1407.126831,335.5,1242.853638,351.9530029,1185.898804,220.0483856,1004.346802,219.43458167816905,1005.300868493822,455.47999380280623,1431.3213139907875,494.6420098975656,1282.8931972034363,11.047580745230178,188.62741597726372,6.477990088503395
1770.0,336.3374634,1243.084839,725.7337646,1363.008423,351.9530029,1185.898804,223.1638489,997.8827515,222.71620523231863,998.7191920392436,426.9191628751665,1355.1850634717025,580.0315055719105,1298.715768902828,14.699454748824106,219.11244021563567,5.044904278106762
