Frame #,Shoulder Orange X,Shoulder Orange Y,Back Orange X,Back Orange Y,Neck Green X,Neck Green Y,Arm Pink X,Arm Pink Y,Leg Pink X,Leg Pink Y,Back Orange X_smoothed,Back Orange Y_smoothed,Neck Green X_smoothed,Neck Green Y_smoothed,Leg Pink X_smoothed,Leg Pink Y_smoothed,angles,velocity,roughness
69.0,430.5,765.5,547.5,934.8444214,550.0614014,737.9268799,395.625,904.46875,466.5,1313.5,547.4990418272318,934.8445641194774,549.7181628090303,737.882248638884,466.52888011008463,1313.4983589005742,168.61235515142582,-1.480649476192184,0.0005214633686677011
70.0,430.5,765.5,547.5,934.8444214,548.9729004,737.8347168,395.625,904.46875,466.5,1313.5,547.4970369656592,934.8461817891396,549.5343678108336,737.854822864809,466.52873252512177,1313.49831113055,168.57645017125645,-2.1542988101617766,0.0005208464537243729
71.0,430.5,765.5,547.5,934.8444214,549.3425903,737.8302612,395.625,904.46875,466.5,1313.5,547.4949535575274,934.8482040004604,549.361416396511,737.8241756648752,466.5194568389462,1313.4987845339128,168.53455860222672,-2.513494141783781,0.0003839090516439518
72.0,430.5,765.5,547.5,934.8444214,549.3425903,737.8302612,395.625,904.46875,466.5,1313.5,547.493841278619,934.8498832825952,549.2136087789037,737.7966327418086,466.5082877420678,1313.4994021571033,168.49173623339357,-2.5693421299894226,0.00019307570968449053
73.0,430.5,765.5,547.5,934.8444214,549.0056763,737.7094116,395.625,904.46875,466.5,1313.5,547.4950867367413,934.850044807717,549.094002391594,737.7787646199857,466.4995607730116,1313.4999159312076,168.45139827448887,-2.420277534282036,5.5483050320164645e-05
74.0,430.5,765.5,547.5,934.8444214,549.0057983,737.7651978,395.625,904.46875,466.5,1313.5,547.4999327677893,934.8473751900694,548.9974392645618,737.7750500568292,466.4948335948912,1313.500221247338,168.4148847317539,-2.190812564098792,9.825707948191301e-06
75.0,430.5,765.5,547.5,934.8444214,549.0057983,737.7651978,395.625,904.46875,466.5,1313.5,547.5086646799354,934.8410353051776,548.9158244837738,737.7860482625314,466.4937309581604,1313.5003226128413,168.38199537253993,-1.9733615528372184,1.705619016000306e-05
76.0,430.5,765.5,547.5,934.8444214,549.0057983,737.7651978,395.625,904.46875,466.5,1313.5,547.5196161230112,934.8315437029064,548.8430260232565,737.807961803966,466.49495539818565,1313.500282723964,168.3521003904992,-1.7936989224438094,2.7841274874627857e-05
77.0,430.5,765.5,547.5,934.8444214,548.6534424,737.894165,395.625,904.46875,466.5,1313.5,547.5283620333297,934.821694374915,548.7776572950584,737.834010022052,466.4971003267101,1313.500177509477,168.32530768562685,-1.6075622923409585,2.849159110148217e-05
78.0,430.5,765.5,547.5,934.8444214,548.6534424,737.894165,395.625,904.46875,466.5,1313.5,547.527651367963,934.817073172012,548.7221514427526,737.8572036935307,466.4991205098081,1313.5000676975408,168.30309075336365,-1.333015935792332,3.026891322062568e-05
79.0,430.5,765.5,547.5,934.8444214,548.6534424,737.894165,395.625,904.46875,466.5,1313.5,547.5086541474599,934.8256225358616,548.6791696725091,737.8732980107535,466.5004793628582,1313.499987789944,168.28804627660347,-0.90266860561087,4.889963857083706e-05
80.0,430.5,765.5,547.5,934.8444214,548.6534424,737.894165,395.625,904.46875,466.5,1313.5,547.4637898175839,934.855821655709,548.6488036890884,737.8824299914598,466.50107775880736,1313.4999477890951,168.28294883129337,-0.3058467186059488,9.885695696895534e-05
81.0,430.5,765.5,547.5,934.8444214,548.6534424,737.894165,395.625,904.46875,466.5,1313.5,547.3906240246589,934.91355702435,548.628724707516,737.8886931751207,466.5010853145659,1313.4999413737855,168.28955064190876,0.3961086369236,0.00018121275922444496
82.0,430.5,765.5,547.5,934.8444214,548.6534424,737.894165,395.625,904.46875,466.5,1313.5,547.2950279234524,934.9987632118082,548.6165362640224,737.8979531994438,466.5007686170487,1313.4999551802066,168.3076176877531,1.084022750659983,0.0002633317882132437
83.0,429.0,765.5,546.9306641,935.2211304,548.6534424,737.894165,395.625,904.46875,466.5,1313.5,547.1907951518189,935.1039523339806,548.6123580286563,737.9146414358456,466.5003686684311,1313.49997594608,168.33473179027024,1.626846151028758,0.000289316447656318
84.0,429.0,765.5,546.9306641,935.2211304,548.6534424,737.894165,395.625,904.46875,466.5,1313.5,547.0945509271598,935.2162980202517,548.6200277614383,737.9382852581707,466.5000414624351,1313.499994379524,168.36716771832272,1.9461556831487312,0.00023280236840537234
85.0,429.0,765.5,547.1577148,935.5,548.6534424,737.894165,395.625,904.46875,466.5,1313.5,547.0192469343655,935.322318803626,548.6460262125057,737.9606746418795,466.49985060182985,1313.5000060983575,168.40136216146897,2.0516665887748786,0.0001305456555763823
86.0,429.0,765.5,546.9306641,935.2211304,548.6534424,737.894165,395.625,904.46875,466.5,1313.5,546.9713082730512,935.4119143293592,548.6960117596147,737.9648565371755,466.4997905192714,1313.5000106933564,168.4348329369067,2.008246526264088,4.546145799716094e-05
87.0,429.0,765.5,547.1577148,935.5,548.6534424,737.894165,395.625,904.46875,466.5,1313.5,546.952253979043,935.479577464323,548.7698605265861,737.9272611948156,466.49981955630994,1313.500010044219,168.46585723916843,1.8614581357036288,7.843234705719049e-06
