Frame #,Hand Pink X,Hand Pink Y,Body Pink X,Body Pink Y,Elbow Orange X,Elbow Orange Y,Shoulder Green X,Shoulder Green Y,Shoulder Green X_smoothed,Shoulder Green Y_smoothed,Hand Pink X_smoothed,Hand Pink Y_smoothed,Body Pink X_smoothed,Body Pink Y_smoothed,angles,velocity,roughness
87.0,712.5714111,1245.277832,520.2113647,1434.211426,600.1220093,1208.224365,653.1123047,993.1964722,654.6571399373768,993.522140589765,712.6602379928449,1245.3456856084142,520.1200033757428,1433.6875857014215,329.9307473498742,4.102650609150942,0.002552207568861974
88.0,712.6378784,1245.168701,520.2113647,1434.211426,600.1784668,1208.247314,657.6825562,992.5,655.7891253969842,993.1131675843462,712.7590973785562,1245.324929131226,520.3066974729811,1433.75102344886,330.0306559761253,5.9945175750647195,0.0035156881581779992
89.0,713.0,1245.390503,520.5,1433.5,600.211731,1208.253662,657.8405762,992.5,656.8424288959262,992.641580910253,712.8705699151882,1245.3051637541926,520.4370757544558,1433.7132873358337,330.14330979297745,6.759229011130401,0.0028520627730091986
90.0,713.0,1245.390503,520.5,1433.5,600.6359253,1208.314453,657.8405762,992.5,657.6611237354681,992.186599772106,712.985279171825,1245.278227668878,520.4958526486421,1433.598139748188,330.24888299092163,6.334391876650898,0.0012941291097580167
91.0,713.0,1245.390503,520.5,1433.5,600.6621094,1208.216919,657.9210815,991.5789185,658.1726300146868,991.793174310924,713.0918821981381,1245.237734743966,520.4712996513649,1433.446040239283,330.33203359757636,4.989036399283577,0.0003227535920433546
92.0,713.1155396,1245.182251,520.5,1433.0,600.6621094,1208.216919,657.9210815,991.5789185,658.376872439658,991.48139234768,713.1794373424658,1245.1845937106932,520.3618474293062,1433.2959767519617,330.38438533116533,3.1411040153386693,0.0005788899894356717
93.0,713.5,1245.0,520.5,1433.0,600.6621094,1208.216919,657.8374023,991.3739624,658.3102618048655,991.2586792927012,713.2398682755177,1245.127031327648,520.1801870095283,1433.17084234326,330.40392067562624,1.172120667654326,0.0015019081192104628
94.0,713.2476196,1245.0,519.6913452,1432.864258,600.7074585,1207.836914,657.8374023,991.3739624,658.0147458616826,991.1304079216036,713.2708779792111,1245.0756472428386,519.951900562298,1433.070911641819,330.39252694270937,-0.6836239750123241,0.0022225092024671404
95.0,713.2476196,1245.0,519.5,1433.5,600.5142822,1207.642822,657.8374023,991.3739624,657.5288199350114,991.105878922776,713.277339798301,1245.037755141264,519.7066690657473,1432.9781344192947,330.3533944133567,-2.3479517611610845,0.0023782503998666716
96.0,713.2476196,1245.0,519.3086548,1432.864258,600.5142822,1207.642822,657.8374023,991.3739624,656.8991225988493,991.1946084831816,713.2689713224457,1245.015163647094,519.4655502817135,1432.8693773099042,330.28978307971147,-3.816680018712759,0.0021182215531124083
97.0,713.1333618,1245.210205,519.3086548,1432.864258,600.5,1207.340454,656.4997559,989.7262573,656.1956361220977,991.3903731708878,713.2553423413382,1245.0063499350435,519.2324003321477,1432.73023777094,330.2056712299699,-5.046710984495348,0.001694065182095118
98.0,713.2476196,1245.0,519.0,1432.5,600.2427979,1207.55188,654.4848633,991.5908813,655.5091271397407,991.6523739280146,713.2414621809343,1245.0105975216088,518.9945617594859,1432.560994549229,330.10726751408566,-5.904222953053022,0.0012162621719529786
99.0,713.2476196,1245.0,518.7211914,1432.278809,599.774292,1207.232056,654.4419556,992.9976196,654.9253006153833,991.9041116525118,713.2263366554691,1245.030353309705,518.7309820598539,1432.373303988047,330.0035011963584,-6.225979063635805,0.0007087734045811687
