Frame #,Right_Shoulder (X),Right_Shoulder (Y),Right_Shoulder (Z),Right_Elbow (X),Right_Elbow (Y),Right_Elbow (Z),Right_Pinky (X),Right_Pinky (Y),Right_Pinky (Z),Right_Hip (X),Right_Hip (Y),Right_Hip (Z),Right_Shoulder (X)_smoothed,Right_Shoulder (Y)_smoothed,Right_Pinky (X)_smoothed,Right_Pinky (Y)_smoothed,Right_Hip (X)_smoothed,Right_Hip (Y)_smoothed,angles,velocity,roughness
52,0.2899250388145447,-0.5123134255409241,-0.4769590497016907,0.2601087391376495,-0.6508775353431702,-0.5147668719291687,0.3295657336711883,-0.8121881484985352,-0.4532425701618194,0.3183000087738037,-0.7420835494995117,-0.1756283193826675,0.2899005370977685,-0.5122781438705847,0.3295657146214272,-0.8120854776780752,0.3182349157541443,-0.7420692380603925,0.6301365361700877,-4.916736562562514,0.0001503973629288016
53,0.2899895310401916,-0.5123040080070496,-0.4819164574146271,0.260097324848175,-0.6508733034133911,-0.5283672213554382,0.3295649588108063,-0.8119809031486511,-0.480490893125534,0.3192532062530517,-0.7420938611030579,-0.175660952925682,0.2899164186905739,-0.512310875641674,0.3296454263616229,-0.8118535104573525,0.3190007055082183,-0.7420719402229028,0.5143859024946967,-6.945038020523457,0.0007349742939709007
54,0.2902253568172455,-0.5124033689498901,-0.4876109361648559,0.260139912366867,-0.6509264707565308,-0.5401131510734558,0.3304746448993683,-0.811923623085022,-0.497009664773941,0.3206345438957214,-0.742092490196228,-0.1753812283277511,0.290009194688016,-0.5123609466242245,0.3298280472306372,-0.8117013708352782,0.3201146883900099,-0.7420448002942048,0.3525191849336306,-9.712003053663969,0.0020290327437840062
55,0.2903729975223541,-0.5124403834342957,-0.487701803445816,0.2601453959941864,-0.6509217619895935,-0.5393954515457153,0.3304267823696136,-0.8116894364356995,-0.4963624179363251,0.321100503206253,-0.7420666813850403,-0.1753763705492019,0.29020063252698,-0.5124261857076249,0.3301429930078167,-0.8115859364097223,0.3216188749461453,-0.7419763395293176,0.1360323818536864,-12.989208184796652,0.003935839807851747
56,0.2904037237167358,-0.512453019618988,-0.4779386222362518,0.2600625455379486,-0.6507282257080078,-0.5270054340362549,0.3304280042648315,-0.8113892674446106,-0.492758184671402,0.3221380114555359,-0.7419449687004089,-0.1747117340564727,0.2905204858849253,-0.5125069136292199,0.3306286531260769,-0.8114804929294032,0.3235013379259925,-0.7418663254589637,-0.1351843130614353,-16.2730016949073,0.005791766869608794
57,0.2907996773719787,-0.5124731063842773,-0.4854848682880401,0.2600996792316437,-0.650437593460083,-0.5466353893280029,0.3305835425853729,-0.8113380670547485,-0.5234978795051575,0.3256849646568298,-0.7416709065437317,-0.1747225672006607,0.2909955881308562,-0.5126024462686082,0.3313101832912626,-0.8113753577062573,0.3256657507174447,-0.7417259255967446,-0.44902772296681,-18.83060459432248,0.006400665315010101
58,0.2914576828479767,-0.5127063393592834,-0.4889849126338959,0.260261058807373,-0.6504257917404175,-0.5454615354537964,0.3309865295886993,-0.8113380074501038,-0.5115757584571838,0.3272805511951446,-0.7415485382080078,-0.1747196912765503,0.291634180819277,-0.5127083888242588,0.3321698390703531,-0.8112729211544523,0.3279267777204469,-0.7415737517963148,-0.7810287211548237,-19.92005989128082,0.004932101267078863
59,0.2922044396400451,-0.5128300786018372,-0.4875913858413696,0.2606348991394043,-0.6502677798271179,-0.5418478846549988,0.3337001800537109,-0.811154305934906,-0.496950626373291,0.3309088945388794,-0.7413010001182556,-0.172773852944374,0.2924132852732563,-0.512816938160778,0.3331330644061007,-0.8111815200793151,0.3300459383895596,-0.7414293970114185,-1.0991355938252172,-19.086412360223612,0.0022197608371963273
60,0.2931149005889892,-0.5131142139434814,-0.4877359569072723,0.2608518302440643,-0.6502050757408142,-0.5411989092826843,0.3352035880088806,-0.8109445571899414,-0.4944243729114532,0.3330468535423279,-0.7412977814674377,-0.1713050305843353,0.2932760535318662,-0.5129207458080153,0.3340880266253242,-0.8111100445292769,0.331797973936572,-0.7413075478531768,-1.3716913201703749,-16.35334358070946,0.0007783246035497648
61,0.294346272945404,-0.5130994915962219,-0.4800480008125305,0.2612426578998565,-0.6501938700675964,-0.5301743149757385,0.335199773311615,-0.8110877275466919,-0.4745482206344604,0.3334027826786041,-0.7412450313568115,-0.1701948046684265,0.2941419357433554,-0.5130177818730713,0.3349287022635762,-0.811063813937261,0.3330378401291662,-0.7412153002626712,-1.5752743758232155,-12.214983339170438,0.002718784479611729
