Frame #,Arm Pink X,Arm Pink Y,Leg Pink X,Leg Pink Y,Neck Green X,Neck Green Y,Shoulder Orange X,Shoulder Orange Y,Back Orange X,Back Orange Y,Back Orange X_smoothed,Back Orange Y_smoothed,Neck Green X_smoothed,Neck Green Y_smoothed,Leg Pink X_smoothed,Leg Pink Y_smoothed,angles,velocity,roughness
56.0,397.7843018,904.3725586,472.5,1307.5,552.5,737.5,430.0,765.5,549.0,935.5,548.9972752444404,935.493503605233,552.2922947634156,737.4832885075361,472.50000086067314,1307.50000052892,169.25977960976974,2.9430364513279983,0.0001640334783416005
57.0,397.7843018,904.3725586,472.5,1307.5,552.5,737.5,430.0,765.5,549.0,935.5,548.9995724860638,935.4974049076452,552.4125503337775,737.4956951345997,472.5000003356179,1307.5000003157895,169.30269264248182,2.574781962724728,7.643904915426352e-05
58.0,397.7843018,904.3725586,472.5,1307.5,552.5,737.5,430.0,765.5,549.0,935.5,549.0009480467162,935.5002844676718,552.4918288632795,737.5022794585356,472.4999999498607,1307.500000106255,169.33734606224283,2.0792051856608396,8.280682982644564e-05
59.0,397.7843018,904.3725586,472.5,1307.5,552.5,737.5,430.0,765.5,549.0,935.5,549.0014172830768,935.501763785136,552.5308407765103,737.5041558686135,472.49999975407326,1307.499999960538,169.3625531232341,1.5124236594766671,0.0001279350003306142
60.0,397.7843018,904.3725586,472.5,1307.5,552.5,737.5,430.0,765.5,549.0,935.5,549.0012568160481,935.502046046852,552.5384647477674,737.5036221665009,472.4999997199275,1307.4999998926648,169.37858248951736,0.9617619769949216,0.0001764319613771212
61.0,397.7843018,904.3725586,472.5,1307.5,552.5,737.5,430.0,765.5,549.0,935.5,549.0008041010933,935.5015937963524,552.527155683583,737.5030936554591,472.49999978433567,1307.4999998873095,169.3869759903341,0.5036100490042372,0.0001923478487918918
62.0,397.7843018,904.3725586,472.5,1307.5,552.5,737.5,430.0,765.5,549.0,935.5,549.0003291080843,935.5008755623836,552.508953637709,737.504215941566,472.4999998837972,1307.4999999176523,169.3900014202263,0.1815257935322733,0.00016205888903492727
63.0,397.7843018,904.3725586,472.5,1307.5,552.5,737.5,430.0,765.5,549.0,935.5,548.9999832801448,935.5002253011008,552.4933163399385,737.5072402438586,472.4999999731964,1307.499999958519,169.39008308203694,0.0048997086383906,0.00010392715163806035
64.0,397.7843018,904.3725586,472.5,1307.5,552.5,737.5,430.0,765.5,549.0,935.5,548.9998061830559,935.499805060959,552.4865728688443,737.510705588699,472.50000003058216,1307.4999999930646,169.38939573508796,-0.041240816938739,4.822965442201006e-05
65.0,397.7843018,904.3725586,472.5,1307.5,552.5,737.5,430.0,765.5,549.0,935.5,548.9997626903559,935.4996350748228,552.4921531914506,737.5115222170233,472.5000000529457,1307.5000000139628,169.38964076438185,0.0147017576335883,1.3921536807978119e-05
66.0,397.7843018,904.3725586,472.5,1307.5,552.5,737.5,430.0,765.5,549.0,935.5,548.9997873931347,935.4996518410202,552.510775716947,737.5056027899378,472.5000000484343,1307.500000021244,169.39192607291605,0.1371185120518703,2.5035878624827214e-06
67.0,397.7843018,904.3725586,472.5,1307.5,552.5,737.5,430.0,765.5,549.0,935.5,548.9998215236518,935.4997644741572,552.5402810400024,737.4891368722211,472.5000000290487,1307.5000000189448,169.39666985281144,0.2846267937235325,4.8429094995821925e-06
68.0,397.7843018,904.3725586,472.5,1307.5,552.5,737.5,430.0,765.5,549.0,935.5,548.999835936915,935.49989371523,552.5755708804156,737.4603571548147,472.5000000058671,1307.500000012096,169.40353486183045,0.4119005411405396,9.79921022099372e-06
69.0,397.7843018,904.3725586,472.5,1307.5,552.5,737.5,430.0,765.5,549.0,935.5,548.9998390144601,935.4999902773288,552.6099333096572,737.4211606162811,472.4999999870673,1307.5000000047864,169.41154462211625,0.4805856171481082,1.0239022873980026e-05
70.0,397.7843018,904.3725586,472.5,1307.5,552.8641968,737.3086548,430.0,765.5,549.0,935.5,548.9998705273033,935.5000367965,552.6392802402628,737.377491559386,472.4999999778828,1307.4999999993831,169.41964591345865,0.4860774805439405,6.1449546624282045e-06
71.0,397.7843018,904.3725586,472.5,1307.5,552.8641968,737.3086548,430.0,765.5,549.0,935.5,548.9999829319614,935.5000403725708,552.6690639766537,737.3377818314576,472.4999999812083,1307.499999996615,169.4278461077403,0.4920116568985122,2.1530959197813387e-06
72.0,397.7843018,904.3725586,472.5,1307.5,552.8641968,737.3086548,430.0,765.5,549.0,935.5,549.0002123160868,935.5000218929868,552.7198945337896,737.310188296324,472.4999999977406,1307.499999996102,169.4385432655633,0.6418294693810367,1.977840682760054e-06
73.0,397.7843018,904.3725586,472.5,1307.5,552.8641968,737.3086548,430.0,765.5,549.0,935.5,549.0005439251762,935.5000058975684,552.8258771657602,737.3002811572554,472.5000000251283,1307.4999999969714,169.45713295467638,1.115381346784261,2.062124574351636e-05
74.0,397.7843018,904.3725586,472.5,1307.5,552.8641968,737.3086548,430.0,765.5,549.0,935.5,549.0008822985043,935.5000122916456,553.022621918039,737.3099989904525,472.5000000564088,1307.4999999983384,169.49099151421296,2.0315135721949673,0.000119230038902317
75.0,397.7843018,904.3725586,472.5,1307.5,552.8641968,737.3086548,430.0,765.5,549.0,935.5,549.0010420523961,935.5000497847892,553.3279423829732,737.3374427531536,472.50000007882346,1307.4999999995734,169.54663846272683,3.3388169108320653,0.0003862030829847365
76.0,397.7843018,904.3725586,472.5,1307.5,552.8641968,737.3086548,430.0,765.5,549.0,935.5,549.0007787844892,935.5001108819802,553.7245460461783,737.3770939336623,472.50000007466593,1307.500000000372,169.62602589362027,4.7632458536060085,0.0007875773342954692
77.0,397.7843018,904.3725586,472.5,1307.5,555.0,737.5,430.0,765.5,549.0,935.5,548.999875564949,935.5001693309936,554.1577964610948,737.4208598104839,472.5000000258122,1307.500000000697,169.7240330266627,5.880427982546621,0.0010488607616646447
78.0,397.7843018,904.3725586,472.5,1307.5,555.0,737.5,430.0,765.5,549.0,935.5,548.9982844619273,935.5001823929211,554.5554610477877,737.4603651914094,472.4999999226853,1307.500000000667,169.82922048696187,6.311247617949789,0.0008813306778957712
79.0,397.7843018,904.3725586,472.5,1307.5,555.0,737.5,430.0,765.5,549.0,935.5,548.9962929859486,935.5001010899216,554.8587948625108,737.4896737039672,472.4999997764429,1307.5000000004527,169.92785691858543,5.91818589741365,0.00040690408251931075
80.0,397.7843018,904.3725586,472.5,1307.5,555.0,737.5,430.0,765.5,549.0,935.5,548.9946469967874,935.4998905651318,555.0436584190442,737.5067949583416,472.49999963033594,1307.500000000201,170.00876750310425,4.85463507112911,0.00013379561345556724
81.0,397.7843018,904.3725586,472.5,1307.5,555.0,737.5,430.0,765.5,549.0,935.5,548.9945281055761,935.4995590578324,555.1208869424315,737.5132605050047,472.49999956325286,1307.5000000000025,170.06629397471383,3.4515882965746414,0.0003718916379698321
82.0,397.7843018,904.3725586,472.5,1307.5,555.0,737.5,430.0,765.5,549.0,935.5,548.9972772796868,935.4991878025198,555.1223247465177,737.5125072855698,472.49999967692105,1307.499999999891,170.10049885473947,2.0522928015384423,0.0008685087365765165
83.0,397.7843018,904.3725586,472.5,1307.5,555.0,737.5,430.0,765.5,549.0,935.5,549.0038034587335,935.4989468677704,555.084361848133,737.5081977841722,472.50000006002807,1307.4999999998593,170.115479504786,0.8988390027923288,0.0011476279756778213
84.0,397.7843018,904.3725586,472.5,1307.5,555.0,737.5,430.0,765.5,549.0,935.5,549.0137356851017,935.4990767580856,555.0363634881022,737.5031349556934,472.5000007294512,1307.4999999998795,170.1171615501099,0.1009227194333561,0.0010214479723896677
85.0,397.7843018,904.3725586,472.5,1307.5,555.0,737.5,430.0,765.5,549.0,935.5,549.0245654369871,935.4998171443624,554.9959951374886,737.4989069039572,472.5000015613491,1307.499999999923,170.11158355652853,-0.334679614882134,0.000655850937437373
86.0,397.7843018,904.3725586,472.5,1307.5,555.0,737.5,430.0,765.5,549.0,935.5,549.0312381097527,935.50127714977,554.9701751677071,737.496089866631,472.5000022409799,1307.499999999967,170.10405223441776,-0.4518793266458942,0.00029998013995322125
87.0,397.7843018,904.3725586,472.5,1307.5,555.0,737.5,430.0,765.5,549.0,935.5,549.0267948701604,935.503268703142,554.9590487018665,737.4947204623872,472.50000227400625,1307.5000000000014,170.0989873469185,-0.3038932499555358,8.507003290498813e-05
88.0,397.7843018,904.3725586,472.5,1307.5,555.0,737.5,430.0,765.5,549.0,935.5,549.0046046534908,935.5051625966844,554.9603864303111,737.4947576831867,472.5000011043706,1307.500000000024,170.09995125526413,0.0578345007374991,1.7255249909419578e-05
89.0,397.7843018,904.3725586,472.5,1307.5,555.0,737.5,430.0,765.5,549.0,935.5,548.9623274481754,935.5058646566582,554.9725320625063,737.4963308404477,472.4999983636952,1307.5000000000373,170.1093163053378,0.5619030044209694,4.745290489615147e-05
90.0,397.7843018,904.3725586,472.5,1307.5,555.0,737.5,430.0,765.5,549.0,935.5,548.9069549277666,935.5040262653068,554.994975132519,737.4996714039536,472.49999422677905,1307.5000000000434,170.1272473449403,1.0758623761483932,0.00011086462701035039
91.0,397.7843018,904.3725586,472.5,1307.5,555.0,737.5,430.0,765.5,549.0,935.5,548.8591943172885,935.4985731297304,555.0265644567862,737.5047378883754,472.49998976920176,1307.5000000000407,170.15010890289824,1.3716934774771516,0.00013355400968692965
92.0,397.7843018,904.3725586,472.5,1307.5,555.0,737.5,430.0,765.5,549.0,935.5,548.8544652984675,935.4895364450356,555.0622238534968,737.5106601829891,472.4999871353373,1307.500000000024,170.1689396437265,1.1298444496958382,7.718458251751241e-05
93.0,397.7843018,904.3725586,472.5,1307.5,555.0,737.5,430.0,765.5,549.0,935.5,548.9375201170913,935.4789988466414,555.0897507134382,737.5152449880345,472.4999892680681,1307.499999999988,170.16908913775387,0.0089696416421247,8.262174148632108e-05
94.0,397.7843018,904.3725586,472.5,1307.5,555.0,737.5,430.0,765.5,549.0,935.5,549.1490127590472,935.4717591445282,555.0887468266776,737.5148681561212,472.49999898155306,1307.4999999999309,170.13221370189714,-2.212526151403722,0.000613432944470106
95.0,397.7843018,904.3725586,472.5,1307.5,555.0,737.5,430.0,765.5,549.0,935.5,549.5060013794333,935.475161674502,555.0336649018277,737.5050749089685,472.50001733176975,1307.4999999998618,170.04124583715785,-5.458071884357878,0.0022582420743876364
96.0,397.7843018,904.3725586,472.5,1307.5,555.0,737.5,430.0,765.5,549.0,935.5,549.9846691996852,935.4975647205378,554.9019358016077,737.4820371556233,472.5000415817265,1307.4999999998054,169.8873769204916,-9.2321349999753,0.004964898483409445
97.0,397.7843018,904.3725586,472.5,1307.5,555.0,737.5,434.1358032,765.3086548,551.5,935.5,550.5189847083085,935.5452958125188,554.685771078177,737.4446081984,472.50006352464857,1307.4999999998022,169.6759037854121,-12.68838810477007,0.007353657848237203
